Mean_Thick;Max_Thick;SD_Thick;Weight;Surf_Plat;Surf_Plat_II;Plat_Depth;Cortex;Cortex_Loc;No_Scars;Long_Ridges;EPA;IPA
 5,100000; 7,3;1,97989899;14,55;112,560000;142,80; 5,6;5;5;3;0; 85; 94
 5,533333; 7,5;1,77451089; 9,43;124,460000;248,92; 9,8;5;5;3;0; 72;110
 4,533333; 6,6;1,63571255; 4,78; 31,200000; 62,40; 4,8;5;5;3;0; 75; 98
 3,900000; 6,0;1,55134350; 4,96;110,411274;140,58; 6,6;5;5;2;1; 70;109
 4,866667; 7,3;2,00055548; 9,14; 71,820000; 88,56; 5,4;5;5;4;0; 73;112
 2,900000; 4,0;0,94162979; 2,73; 13,194689; 16,80; 2,4;5;5;3;0; 85; 97
 1,800000; 2,3;0,40824829; 1,82;  9,848893; 12,54; 1,9;5;5;1;0; 89; 94
 7,766667;10,3;2,65497437;13,17; 79,200000;158,40; 7,2;1;1;0;0; 55;112
 6,233333; 8,4;2,15148528;12,22; 39,780000; 79,56; 5,2;2;3;1;0; 56;114
 3,333333; 3,7;0,26246693; 6,60; 22,140000; 44,28; 3,6;3;3;3;0; 85; 96
 4,900000; 6,6;1,68720676; 5,22; 85,140000;122,10; 6,6;2;3;2;0; 88; 86
 6,033333; 7,2;1,13235252; 8,76;  9,071349; 11,55; 2,1;2;2;1;0; 58;122
 7,000000; 8,5;1,52970585; 7,88; 55,440000; 55,68; 4,8;2;1;2;0; 39;130
 5,366667; 6,8;1,62138487; 5,76; 15,008959; 19,11; 2,1;1;1;0;0; 60;113
 7,400000;10,3;2,59615100;14,28; 62,220000;124,44;10,2;3;2;1;0; 61;110
 7,133333; 8,5;0,96724121;13,93; 23,499113; 29,92; 3,4;2;1;2;0; 80;110
 5,666667; 7,2;1,35728487;13,08; 12,299335; 15,66; 2,9;3;2;2;0; 79;115
 4,200000; 5,5;1,37355985; 7,53;  8,000000; 16,00; 3,2;2;2;1;0; 61;120
 5,066667; 6,9;1,32748718; 9,87; 13,186835; 16,79; 2,3;3;2;1;0; 85; 95
 4,433333; 6,4;1,48847424; 7,17; 22,755000; 45,51; 4,1;5;5;3;0; 85; 98
 5,466667; 6,6;0,93926685; 7,39; 59,000000; 76,00; 5,0;5;5;4;0; 85; 98
 3,066667; 3,3;0,32998316; 4,96;  4,290000;  8,58; 2,2;5;5;4;0; 88; 93
